execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,join_count,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_num,variation_join_count
1,2026-02-15T00:34:45.941445,50.142457941547036,,,True,7.59662501513958,7.895916933193803,5,15.492541948333383,16,22.135790903121233,True,,19.846042152494192,5,41.981833055615425,7.127000018954277,5,7.127000018954277,11.660084128379822,,13.283042004331946,1.6229578759521246,True,,18.30475009046495,5,13.283042004331946,13.283042004331946,16,JOIN_GROUP_BY,1,16
2,2026-02-15T00:34:46.102394,49.05770788900554,,,True,7.50004081055522,7.893791887909174,5,15.393832698464394,16,22.840250050649047,True,,19.7050420101732,5,42.54529206082225,7.228291127830744,5,7.228291127830744,9.768167044967413,,11.489125899970531,1.7209588550031185,True,,14.401083113625646,5,11.489125899970531,11.489125899970531,16,JOIN_GROUP_BY,2,16
3,2026-02-15T00:34:46.257159,47.190500888973475,,,True,7.972833001986146,7.57420901209116,5,15.547042014077306,16,21.95916697382927,True,,19.53508402220905,5,41.49425099603832,6.995375035330653,5,6.995375035330653,8.78854189068079,,10.263125877827406,1.474583987146616,True,,13.366332976147532,5,10.263125877827406,10.263125877827406,16,JOIN_GROUP_BY,3,16
4,2026-02-15T00:34:46.418357,56.379167130216956,,,True,7.447791984304786,8.169292006641626,5,15.617083990946412,16,20.99970798008144,True,,19.12675006315112,5,40.12645804323256,17.053292132914066,5,17.053292132914066,9.332375135272741,,10.878375032916665,1.5459998976439238,True,,13.15349992364645,5,10.878375032916665,10.878375032916665,16,JOIN_GROUP_BY,4,16
5,2026-02-15T00:34:46.568417,45.18079198896885,,,True,6.905500078573823,7.40941590629518,5,14.314915984869003,16,20.854375092312694,True,,19.03520803898573,5,39.88958313129842,6.692166905850172,5,6.692166905850172,9.241499938070774,,10.72874991223216,1.4872499741613865,True,,13.521041022613645,5,10.72874991223216,10.72874991223216,16,JOIN_GROUP_BY,5,16
6,2026-02-15T00:34:46.796767,51.189125049859285,,,True,8.117874851450324,13.87883280403912,5,21.996707655489445,16,22.9243750218302,True,,32.22579089924693,5,55.15016592107713,7.409167010337114,5,7.409167010337114,11.142542120069265,,12.737708166241646,1.5951660461723804,True,,20.187957910820842,5,12.737708166241646,12.737708166241646,32,JOIN_GROUP_BY,1,16
7,2026-02-15T00:34:47.051256,49.702333053573966,,,True,7.841708138585091,13.705292018130422,5,21.547000156715512,16,22.669791942462325,True,,50.693708937615156,5,73.36350088007748,7.567749824374914,5,7.567749824374914,9.759542066603899,,11.623083148151636,1.8635410815477371,True,,20.002250093966722,5,11.623083148151636,11.623083148151636,32,JOIN_GROUP_BY,2,16
8,2026-02-15T00:34:47.292176,49.20483403839171,,,True,7.368291961029172,13.429542072117329,5,20.7978340331465,16,21.609875140711665,True,,29.411209048703313,5,51.02108418941498,7.307167164981365,5,7.307167164981365,11.24274986796081,,12.919499771669507,1.6767499037086964,True,,37.21674997359514,5,12.919499771669507,12.919499771669507,32,JOIN_GROUP_BY,3,16
9,2026-02-15T00:34:47.510001,46.08079185709357,,,True,7.091667037457228,13.171707978472114,5,20.26337501592934,16,21.767582977190614,True,,29.73729115910828,5,51.504874136298895,6.609834032133222,5,6.609834032133222,9.042666992172599,,10.61170781031251,1.5690408181399107,True,,19.257582956925035,5,10.61170781031251,10.61170781031251,32,JOIN_GROUP_BY,4,16
10,2026-02-15T00:34:47.745026,46.655543614178896,,,True,7.2792088612914085,13.856666162610054,5,21.135875023901463,16,21.77383378148079,True,,29.44087516516447,5,51.21470894664526,6.588916992768645,5,6.588916992768645,9.277916979044676,,11.013583978638053,1.7356669995933771,True,,35.7977079693228,5,11.013583978638053,11.013583978638053,32,JOIN_GROUP_BY,5,16
11,2026-02-15T00:34:48.096131,48.42929192818701,,,True,8.0097911413759,27.075499994680285,5,35.085291136056185,16,22.537749959155917,True,,48.07454184629023,5,70.61229180544615,6.74633402377367,5,6.74633402377367,9.043874917551875,,11.135416803881526,2.091541886329651,True,,29.46304203942418,5,11.135416803881526,11.135416803881526,64,JOIN_GROUP_BY,1,16
12,2026-02-15T00:34:48.462840,48.55045932345092,,,True,8.026459021493793,27.34816586598754,5,35.37462488748133,16,22.801709128543735,True,,63.67662502452731,5,86.47833415307105,6.887250114232302,5,6.887250114232302,8.64858296699822,,10.835041059181094,2.1864580921828747,True,,30.511875171214342,5,10.835041059181094,10.835041059181094,64,JOIN_GROUP_BY,2,16
13,2026-02-15T00:34:48.813898,48.72937384061515,,,True,8.168166037648916,27.33070799149573,5,35.498874029144645,16,22.704332834109664,True,,48.83766593411565,5,71.54199876822531,6.944000022485852,5,6.944000022485852,8.920291904360056,,10.91287494637072,1.992583042010665,True,,29.897915897890925,5,10.91287494637072,10.91287494637072,64,JOIN_GROUP_BY,3,16
14,2026-02-15T00:34:49.186407,52.62662493623793,,,True,7.892917143180966,27.364291017875075,5,35.25720816105604,16,26.256500044837594,True,,64.77820803411305,5,91.03470807895064,6.9108749739825726,5,6.9108749739825726,9.441916830837727,,11.566332774236798,2.1244159433990717,True,,29.988500056788325,5,11.566332774236798,11.566332774236798,64,JOIN_GROUP_BY,4,16
15,2026-02-15T00:34:49.537320,49.079293152317405,,,True,7.620667107403278,26.757291983813047,5,34.377959091216326,16,22.13516691699624,True,,48.25641680508852,5,70.39158372208476,7.292583119124174,5,7.292583119124174,9.830916998907924,,12.030876008793712,2.199959009885788,True,,29.9942079000175,5,12.030876008793712,12.030876008793712,64,JOIN_GROUP_BY,5,16
16,2026-02-15T00:34:50.197936,50.513667054474354,,,True,8.258084068074822,85.07562498562038,5,93.3337090536952,16,23.39887502603233,True,,82.92066701687872,5,106.31954204291105,6.897083017975092,5,6.897083017975092,9.122916962951422,,11.95962494239211,2.836707979440689,True,,69.95895807631314,5,11.95962494239211,11.95962494239211,128,JOIN_GROUP_BY,1,16
17,2026-02-15T00:34:50.842943,51.37179233133793,,,True,8.744333172217011,67.49629112891853,5,76.24062430113554,16,23.32020807079971,True,,102.22733300179243,5,125.54754107259214,6.911542033776641,5,6.911542033776641,9.843042120337486,,12.395709054544568,2.552666934207082,True,,51.8455000128597,5,12.395709054544568,12.395709054544568,128,JOIN_GROUP_BY,2,16
18,2026-02-15T00:34:51.489191,51.498791202902794,,,True,8.678541984409094,86.2087078858167,5,94.88724987022579,16,22.949041100218892,True,,84.57962493412197,5,107.52866603434086,7.229499984532595,5,7.229499984532595,9.895708179101348,,12.641708133742213,2.7459999546408653,True,,51.89308291301131,5,12.641708133742213,12.641708133742213,128,JOIN_GROUP_BY,3,16
19,2026-02-15T00:34:52.155780,51.41129088588059,,,True,8.337916107848287,87.47533312998712,5,95.81324923783541,16,23.384332889690995,True,,83.33095908164978,5,106.71529197134078,7.6731250155717134,5,7.6731250155717134,9.247374953702092,,12.015916872769594,2.768541919067502,True,,71.25116721726954,5,12.015916872769594,12.015916872769594,128,JOIN_GROUP_BY,4,16
20,2026-02-15T00:34:52.803899,51.30170821212232,,,True,8.354332996532321,67.88787501864135,5,76.24220801517367,16,23.54520815424621,True,,103.43170911073685,5,126.97691726498306,7.284959079697728,5,7.284959079697728,9.356166003271937,,12.117207981646061,2.7610419783741236,True,,52.100959001109004,5,12.117207981646061,12.117207981646061,128,JOIN_GROUP_BY,5,16
