execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,row_count,run_num,table_width
1,2026-02-15T02:02:30.372967,754.3424169998616,,,True,28.30970799550414,0.9697498753666878,1,29.27945787087083,33.60316716134548,True,,3.1934580765664577,1,36.79662523791194,14.85979207791388,1,14.85979207791388,115.96162477508187,,677.5697497650981,561.6081249900162,True,,1.4790832065045834,1,677.5697497650981,677.5697497650981,1,WIDE_AGG,10000000,1,16
2,2026-02-15T02:02:31.201791,803.3591657876968,,,True,29.301999835297465,0.9029579814523458,1,30.20495781674981,34.69283296726644,True,,3.1857918947935104,1,37.87862486205995,14.455625088885427,1,14.455625088885427,115.5542079359293,,724.9087078962475,609.3544999603182,True,,1.4505828730762005,1,724.9087078962475,724.9087078962475,1,WIDE_AGG,10000000,2,16
3,2026-02-15T02:02:32.004910,777.0822099409997,,,True,27.997791999951005,1.054875086992979,1,29.052667086943984,34.51204183511436,True,,3.846332896500826,1,38.358374731615186,14.620333909988403,1,14.620333909988403,116.26425012946129,,699.952042195946,583.6877920664847,True,,1.5248339623212814,1,699.952042195946,699.952042195946,1,WIDE_AGG,10000000,3,16
4,2026-02-15T02:02:32.791155,760.5629586614668,,,True,30.626541934907436,1.0060828644782305,1,31.632624799385667,34.06083304435015,True,,3.2312499824911356,1,37.29208302684128,15.432291897013783,1,15.432291897013783,115.37970788776875,,680.4432917851955,565.0635838974267,True,,1.4390421565622091,1,680.4432917851955,680.4432917851955,1,WIDE_AGG,10000000,4,16
5,2026-02-15T02:02:33.585589,768.9104999881238,,,True,30.32016707584262,0.9368748869746923,1,31.25704196281731,34.799749962985516,True,,3.361915936693549,1,38.161665899679065,14.515624847263098,1,14.515624847263098,115.35883299075067,,689.2749581020325,573.9161251112819,True,,1.476583071053028,1,689.2749581020325,689.2749581020325,1,WIDE_AGG,10000000,5,16
6,2026-02-15T02:02:43.074583,888.2067070808262,,,True,66.69087498448789,1.3610420282930136,1,68.0519170127809,60.15050015412271,True,,5.511916009709239,1,65.66241616383195,28.452540980651975,1,28.452540980651975,129.77133295498788,,732.9127909615636,603.1414580065757,True,,2.08091689273715,1,732.9127909615636,732.9127909615636,1,WIDE_AGG,10000000,1,32
7,2026-02-15T02:02:44.003176,885.6313761789352,,,True,71.78029115311801,1.7131250351667404,1,73.49341618828475,59.32616698555648,True,,18.10866710729897,1,77.43483409285545,28.16070895642042,1,28.16070895642042,131.5323340240866,,726.3642090838403,594.8318750597537,True,,2.1375000942498446,1,726.3642090838403,726.3642090838403,1,WIDE_AGG,10000000,2,32
8,2026-02-15T02:02:44.959994,926.0084580164403,,,True,69.95566701516509,1.4632500242441893,1,71.41891703940928,63.675250159576535,True,,5.669542122632265,1,69.3447922822088,28.015665942803025,1,28.015665942803025,132.95366591773927,,764.3618748988956,631.4082089811563,True,,2.113957889378071,1,764.3618748988956,764.3618748988956,1,WIDE_AGG,10000000,3,32
9,2026-02-15T02:02:45.922355,931.7257918883115,,,True,70.33704197965562,1.4837088529020548,1,71.82075083255768,60.740333981812,True,,5.721375113353133,1,66.46170909516513,28.86008284986019,1,28.86008284986019,134.20549989677966,,771.7883330769837,637.582833180204,True,,2.513958141207695,1,771.7883330769837,771.7883330769837,1,WIDE_AGG,10000000,4,32
10,2026-02-15T02:02:46.868660,916.0164173226804,,,True,76.79616706445813,1.794417155906558,1,78.59058422036469,64.5025409758091,True,,5.5294998455792665,1,70.03204082138836,32.48354117386043,1,32.48354117386043,134.16220899671316,,742.2341681085527,608.0719591118395,True,,2.165416022762656,1,742.2341681085527,742.2341681085527,1,WIDE_AGG,10000000,5,32
11,2026-02-15T02:03:05.692820,1261.3831255584955,,,True,166.66204202920198,2.6175000239163637,1,169.27954205311835,145.6956248730421,True,,10.08412498049438,1,155.7797498535365,74.92362498305738,1,74.92362498305738,182.50170885585248,,874.101833673194,691.6001248173416,True,,3.6997918505221605,1,874.101833673194,874.101833673194,1,WIDE_AGG,10000000,1,64
12,2026-02-15T02:03:07.076717,1342.4527912866324,,,True,175.41433311998844,3.1736670061945915,1,178.58800012618303,153.69037515483797,True,,10.324666043743491,1,164.01504119858146,73.4444169793278,1,73.4444169793278,193.18058295175433,,939.9036660324782,746.7230830807239,True,,3.723583882674575,1,939.9036660324782,939.9036660324782,1,WIDE_AGG,10000000,2,64
13,2026-02-15T02:03:08.458047,1338.4507079608738,,,True,176.88662488944829,2.8390828520059586,1,179.72570774145424,165.94866709783673,True,,11.231207987293601,1,177.17987508513033,80.41004091501236,1,80.41004091501236,196.16583292372525,,915.2053750585765,719.0395421348512,True,,3.791125025600195,1,915.2053750585765,915.2053750585765,1,WIDE_AGG,10000000,3,64
14,2026-02-15T02:03:09.827688,1328.0633753165603,,,True,173.17933309823275,2.8243749402463436,1,176.0037080384791,154.1709159500897,True,,11.045041959732771,1,165.21595790982246,75.60850004665554,1,75.60850004665554,189.05329215340316,,925.1046262215823,736.0513340681791,True,,3.5545409191399813,1,925.1046262215823,925.1046262215823,1,WIDE_AGG,10000000,4,64
15,2026-02-15T02:03:11.230532,1359.8950412124395,,,True,170.46966613270342,2.764041069895029,1,173.23370720259845,156.41245804727077,True,,10.76124981045723,1,167.173707857728,78.73345911502838,1,78.73345911502838,190.6821660231799,,954.279457917437,763.5972918942571,True,,4.582457942888141,1,954.279457917437,954.279457917437,1,WIDE_AGG,10000000,5,64
16,2026-02-15T02:03:49.225901,2307.061417028308,,,True,598.1290841009468,5.33637497574091,1,603.4654590766877,362.83524986356497,True,,18.782999832183123,1,381.6182496957481,174.27187506109476,1,174.27187506109476,287.1078329626471,,1171.8252080027014,884.7173750400543,True,,6.018166895955801,1,1171.8252080027014,1171.8252080027014,1,WIDE_AGG,10000000,1,128
17,2026-02-15T02:03:51.661015,2375.4636254161596,,,True,600.2060419414192,5.165125010535121,1,605.3711669519544,361.7471670731902,True,,20.97741700708866,1,382.7245840802789,180.3880832158029,1,180.3880832158029,299.8664581682533,,1233.1223331857473,933.255875017494,True,,6.0947921592742205,1,1233.1223331857473,1233.1223331857473,1,WIDE_AGG,10000000,2,128
18,2026-02-15T02:03:54.117722,2395.5987500958145,,,True,596.5788750909269,6.434374954551458,1,603.0132500454783,368.8041251152754,True,,20.634875167161226,1,389.4390002824366,181.28925003111362,1,181.28925003111362,297.279791906476,,1248.9264998584986,951.6467079520226,True,,6.686709122732282,1,1248.9264998584986,1248.9264998584986,1,WIDE_AGG,10000000,3,128
19,2026-02-15T02:03:56.586122,2403.67649984546,,,True,600.1586248166859,5.683708004653454,1,605.8423328213394,372.0041671767831,True,,22.427875082939863,1,394.43204225972295,187.6862500794232,1,187.6862500794232,308.5830418858677,,1243.8274577725679,935.2444158867002,True,,7.579541997984052,1,1243.8274577725679,1243.8274577725679,1,WIDE_AGG,10000000,4,128
20,2026-02-15T02:03:59.310977,2660.0945421960205,,,True,638.2820829749107,5.5236248299479485,1,643.8057078048587,423.8615841604769,True,,21.87687484547496,1,445.7384590059519,209.63812503032386,1,209.63812503032386,364.46954193525016,,1388.312750030309,1023.8432080950588,True,,7.423917064443231,1,1388.312750030309,1388.312750030309,1,WIDE_AGG,10000000,5,128
