execution_number,timestamp,duration_ms,error,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,num_rows,run_num,source_count
1,2026-02-06T02:09:12.539660,5.152666941285133,,,1.4975001104176044,0.940792029723525,10,2.4382921401411295,1,,2.713083056733012,10,10000,1,2
2,2026-02-06T02:09:12.563268,3.2974169589579105,,,1.2667500413954258,0.9582920465618372,10,2.225042087957263,1,,1.0709580965340137,10,10000,2,2
3,2026-02-06T02:09:12.584513,3.0552500393241644,,,1.113042002543807,0.8691248949617147,10,1.9821668975055218,1,,1.0722919832915068,10,10000,3,2
4,2026-02-06T02:09:12.625663,5.953333107754588,,,2.1989168599247932,1.3505001552402973,10,3.5494170151650906,3,,2.402917016297579,10,10000,1,4
5,2026-02-06T02:09:12.665945,5.369083024561405,,,1.979749882593751,1.4132079668343067,10,3.3929578494280577,3,,1.9750420469790697,10,10000,2,4
6,2026-02-06T02:09:12.705336,5.076166009530425,,,1.7784170340746641,1.283458899706602,10,3.061875933781266,3,,2.013541990891099,10,10000,3,4
7,2026-02-06T02:09:12.794025,21.314291981980205,,,4.071583040058613,13.24100000783801,10,17.312583047896624,7,,3.9993750397115946,10,10000,1,8
8,2026-02-06T02:09:12.872705,9.881917154416442,,,3.992042038589716,2.340374980121851,10,6.332417018711567,7,,3.548000007867813,10,10000,2,8
9,2026-02-06T02:09:12.949949,9.653833927586675,,,3.683582879602909,2.3760420735925436,10,6.059624953195453,7,,3.5927090793848038,10,10000,3,8
10,2026-02-06T02:09:13.167669,22.61116704903543,,,9.516625199466944,4.374417010694742,10,13.891042210161686,15,,8.717665914446115,10,10000,1,16
11,2026-02-06T02:09:13.328943,22.4655419588089,,,9.924500016495585,4.319082945585251,10,14.243582962080836,15,,8.219417184591293,10,10000,2,16
12,2026-02-06T02:09:13.492879,25.38720890879631,,,9.655625093728304,4.76270797662437,10,14.418333070352674,15,,10.965958936139941,10,10000,3,16
13,2026-02-06T02:09:13.882406,124.5154170319438,,,42.43350005708635,14.674833044409752,10,57.1083331014961,31,,67.40333302877843,10,10000,1,32
14,2026-02-06T02:09:14.711278,167.94645809568465,,,62.95354082249105,10.110249975696206,10,73.06379079818726,31,,94.87579204142094,10,10000,2,32
15,2026-02-06T02:09:15.071328,90.56891687214375,,,42.38325008191168,8.716750191524625,10,51.10000027343631,31,,39.46616710163653,10,10000,3,32
