execution_number,query_num,tpch_sf,umbra_dfc_time_ms,umbra_logical_time_ms,umbra_time_ms
1,1,1.0,34.63620902039111,40.00112507492304,47.04137495718896
2,3,1.0,11.48337498307228,13.73137510381639,41.70195781625807
3,4,1.0,12.289291014894845,259.9963331595063,23.982041981071234
4,5,1.0,15.223334077745676,14.020333997905254,44.34054088778794
5,6,1.0,3.1853748951107264,5.128999939188361,33.98858313448727
6,7,1.0,11.630708118900657,27.74000004865229,38.889999967068434
7,8,1.0,29.63208290748298,37.81070816330612,41.366957826539874
8,9,1.0,61.19524990208447,63.80387512035668,287.7202080562711
9,10,1.0,19.0632501617074,20.98324988037348,144.85979219898582
10,12,1.0,9.438375011086464,12.0687501039356,39.17012503370643
11,14,1.0,5.691583035513759,8.300666930153966,30.053541995584965
12,18,1.0,84.00937495753169,34.326500026509166,110.37487490102647
13,19,1.0,6.322582950815558,8.330625016242266,39.319457951933146
14,1,1.0,31.72175004146993,40.60225002467632,57.25141707807779
15,3,1.0,20.90866700746119,18.875834066420794,72.4962919484824
16,4,1.0,11.027124943211676,338.9424169436097,36.51383286342025
17,5,1.0,17.36312499269843,26.869833003729585,51.845874870195985
18,6,1.0,3.473791992291808,7.571000140160322,46.19708308018744
19,7,1.0,12.446000007912517,41.30933294072747,49.34566584415734
20,8,1.0,24.691374972462658,39.73049996420741,65.91791706159711
21,9,1.0,32.53637510351837,73.20500002242625,249.26712503656745
22,10,1.0,15.088832937180996,41.52395902201533,246.51633412577212
23,12,1.0,7.62195885181427,11.68420910835266,47.72166721522808
24,14,1.0,8.359792176634073,6.01558294147253,32.33041684143245
25,18,1.0,59.98258292675018,38.98370801471174,157.29391598142684
26,19,1.0,6.330416072160006,15.02279215492308,37.71816683001816
27,1,1.0,30.825667083263397,38.31462492235005,59.953125193715096
28,3,1.0,11.843625223264098,11.622041929513216,80.37370909005404
29,4,1.0,12.574583990499375,277.8342498932034,96.26845782622696
30,5,1.0,29.78279208764434,28.65120815113187,67.74741597473621
31,6,1.0,7.48862512409687,14.318334171548486,51.96299985982478
32,7,1.0,8.981874911114573,23.356667021289468,37.587250117212534
33,8,1.0,31.574707943946123,40.69679090753198,37.03487501479685
34,9,1.0,30.57016595266759,61.73308286815882,234.94929214939475
35,10,1.0,20.64670785330236,27.521417010575533,134.18687507510185
36,12,1.0,8.152791997417808,13.732916908338666,111.35866702534258
37,14,1.0,8.34304210729897,5.427166819572449,22.886374965310097
38,18,1.0,57.46129201725125,30.86516703478992,123.56966687366366
39,19,1.0,6.658042082563043,11.341625126078725,43.84670895524323
40,1,1.0,29.40741693601012,49.44629082456231,60.412790859118104
41,3,1.0,10.820874944329262,14.886499848216772,46.44758393988013
42,4,1.0,14.378875028342009,336.754416115582,30.584957916289568
43,5,1.0,20.33354202285409,15.232749981805682,66.06612517498434
44,6,1.0,3.355541033670306,7.28566711768508,55.18937483429909
45,7,1.0,10.096417041495442,27.74633397348225,39.2211249563843
46,8,1.0,26.65916597470641,39.627416990697384,52.04045888967812
47,9,1.0,29.854417080059648,68.08775011450052,239.96199993416667
48,10,1.0,17.880667001008987,22.699249908328056,308.00391593948007
49,12,1.0,7.423165952786803,12.405667221173644,43.19954221136868
50,14,1.0,6.1150421388447285,6.472792010754347,23.51262513548136
51,18,1.0,74.9475839547813,34.70345912501216,129.74795792251825
52,19,1.0,15.37445792928338,8.067332906648517,42.771958047524095
53,1,1.0,34.88220786675811,37.9016250371933,61.85620906762779
54,3,1.0,10.195916052907704,18.621583003550768,85.86833300068974
55,4,1.0,34.77966622449458,401.99920907616615,43.46995893865824
56,5,1.0,12.317958986386657,20.593709079548717,48.90270810574293
57,6,1.0,5.737249972298741,8.302167057991028,31.55845799483359
58,7,1.0,9.510708041489124,31.14583296701312,40.24233389645815
59,8,1.0,23.902874905616045,42.54700010642409,30.595666961744428
60,9,1.0,28.25333410874009,67.36912508495152,261.8467079009861
61,10,1.0,20.831207977607846,27.383875101804733,320.6854169256985
62,12,1.0,22.44650013744831,23.174500092864037,85.04195814020932
63,14,1.0,9.139291942119598,9.015833027660848,39.72212504595518
64,18,1.0,92.08941692486404,44.47141592390835,230.30258296057585
65,19,1.0,7.034834008663893,9.662416065111756,53.65045787766576
